Obs.	statenum	casenum	accdate	acctime	speeding	alcres	drugres1	
212	49	90	06072015	2230	1	30	1	
213	32	42	01142015	0601	0	0	401	
214	1	623	10282015	0835	0	0	401	
215	13	710	07242015	2246	0	996	0	
216	41	20	01292015	0650	0	996	300	
217	55	110	04132015	1713	0	203	407	
218	8	436	10112015	1927	0	996	0	
219	21	166	04212015	0637	0	996	0	
220	29	141	03162015	1705	0	0	1	
221	39	788	10112015	2303	0	161	605	
222	42	148	03182015	0538	0	0	1	
223	36	679	07262015	2120	0	250	402	
224	27	304	10222015	0945	1	0	304	
225	38	7	01282015	2028	1	0	1	
226	41	54	03112015	1002	0	0	0	
227	48	1878	07312015	2231	1	996	0	
228	17	463	07232015	1645	0	102	1	
229	12	1367	07212015	1158	0	996	0	
230	12	1857	09132015	0947	0	996	0	
231	36	727	10102015	1448	0	0	1	
232	48	142	01222015	0635	0	996	0	
233	22	312	07042015	2125	0	214	1	
234	42	464	06072015	0010	0	997	997	
235	47	47	01292015	0709	0	0	695	
236	47	756	10272015	0430	1	996	0	
237	6	1532	07302015	1320	0	996	0	
238	12	2195	11152015	2234	0	996	0	
239	13	562	06112015	0920	0	996	0	
240	29	198	02082015	1827	1	185	1	
241	40	152	05202015	2308	0	0	1	
242	48	1221	06062015	0019	0	200	1	
243	4	79	02152015	2033	1	996	0	
244	4	94	02262015	0550	0	996	0	
245	17	334	06182015	1147	1	0	316	
246	27	26	02112015	0823	1	995	95	
247	48	2095	07232015	1007	1	0	1	
248	53	146	05232015	1500	0	996	0	
249	26	352	07052015	1926	0	0	1	
250	28	113	03242015	1946	0	996	0	
251	34	352	06262015	2058	0	326	1	
252	12	1982	10162015	2021	0	996	0	
253	21	199	05132015	1416	0	0	1	
254	37	69	01202015	1545	0	0	0	
255	48	212	01292015	0303	1	133	1	
256	6	2118	11092015	1106	0	.	.	
257	21	105	03092015	2126	0	.	.	
258	37	350	05212015	1154	0	996	0	
259	51	295	06212015	0053	0	996	0	
260	53	26	01122015	1724	0	130	1	
261	6	2461	12032015	0643	0	996	0	
262	6	1139	07162015	1514	1	996	0	
263	21	464	09272015	0012	0	996	0	
264	26	206	05112015	1637	0	0	1	
265	29	320	06242015	0605	0	0	997	
266	47	666	10102015	1645	1	0	300	
267	51	8	01042015	0103	0	148	1	
268	6	2083	11292015	0143	0	.	.	
269	12	2532	12172015	1200	0	999	999	
270	37	1145	11152015	0306	0	0	0	
271	45	646	10072015	1920	1	996	0	
272	48	2726	10212015	1420	1	0	.	
273	21	500	10052015	2035	0	0	124	
274	41	49	03012015	0128	0	358	321	
275	27	352	11302015	2021	0	0	1	
276	37	743	08052015	1720	0	.	0	
277	39	328	05272015	1547	0	996	0	
278	48	1109	05202015	1139	0	996	0	
279	6	720	05102015	0159	1	996	0	
280	8	476	11282015	2030	1	0	401	
281	16	28	03282015	2154	0	139	603	
282	19	255	10292015	0532	0	996	0	
283	37	1044	11022015	0729	1	.	0	
284	45	798	11242015	1350	1	0	996	
285	12	417	03242015	1735	0	996	0	
286	12	2180	11092015	0700	0	996	0	
287	34	486	09262015	1358	0	996	0	
288	48	627	03212015	1412	1	996	0	
289	48	2991	12142015	1315	1	996	0	
290	25	14	02052015	1939	0	.	.	
291	51	124	01312015	0233	1	0	1	
292	12	1656	08292015	0040	0	442	997	
293	48	2401	10152015	2300	0	60	998	
294	41	53	03072015	1528	1	996	0	
295	48	1131	05252015	1716	0	996	0	
296	48	1747	07252015	1630	1	0	702	
297	18	249	05032015	1732	0	0	1	
298	27	93	04262015	1558	0	0	0	
299	24	404	12022015	2051	0	0	1	
300	30	176	11052015	1830	0	996	0	
301	39	129	02212015	1702	0	996	0	
302	40	97	04072015	0800	0	0	600	
303	48	2866	11132015	2200	0	.	.	
304	39	1028	12262015	2042	0	112	95	
305	6	211	02042015	0323	1	996	0	
306	17	533	08242015	1934	1	0	1	
307	34	247	07122015	2009	0	996	0	
308	37	822	09182015	1850	0	0	0	
309	53	314	08292015	1042	0	0	1	
310	28	463	10212015	0318	0	0	998	
311	47	577	09052015	9999	0	168	321	
312	48	790	04142015	1315	0	.	1	
313	13	93	01312015	0219	0	0	1	
314	36	906	12042015	2333	1	0	1	
315	48	268	02102015	1838	0	0	1	
316	4	662	10312015	0924	1	150	.	
317	6	442	02192015	1700	0	996	0	
318	12	302	02282015	0015	0	170	1	
319	17	927	12052015	0305	0	120	1	
320	6	2738	11302015	1140	0	10	.	
321	10	75	08122015	1248	0	995	95	
322	17	70	02262015	0456	0	0	0	
323	26	255	05282015	1845	1	299	1	
324	37	230	03272015	1255	0	996	0	
325	39	625	08092015	0400	0	996	0	
326	42	760	09132015	1921	0	996	0	
327	47	618	09172015	9999	0	249	188	
328	48	1897	08132015	0025	0	996	0	
329	4	143	03092015	2031	0	0	401	
330	30	136	09272015	2000	0	114	1	
331	34	447	11282015	2232	0	188	.	
332	6	1811	10312015	0028	0	120	1	
333	27	353	12072015	1043	1	996	0	
334	31	27	02272015	1739	1	996	0	
335	31	84	05262015	1729	0	996	0	
336	41	51	03072015	2306	0	124	0	
337	47	906	12292015	1553	0	996	0	
338	22	246	05242015	0235	0	0	0	
339	39	439	06272015	2112	1	247	1	
340	21	649	12182015	1717	0	996	0	
341	37	626	07092015	2240	1	996	0	
342	48	2676	11132015	1055	0	996	0	
343	54	209	10142015	1805	0	0	1	
344	5	96	03212015	2050	0	299	1	
345	20	132	06272015	1055	0	996	0	
346	5	31	01302015	0500	0	996	.	
347	6	9	01032015	0025	1	230	402	
348	27	79	04152015	1642	0	996	0	
349	36	70	02172015	1505	0	995	95	
350	37	1148	11292015	0444	1	200	.	
351	42	965	10172015	0004	1	0	1	
352	47	680	10172015	0906	0	0	0	
353	32	92	03132015	2023	0	226	600	
354	41	42	02242015	0812	0	208	0	
355	6	222	02102015	1638	1	996	0	
356	24	92	04162015	1819	0	995	95	
357	39	130	02282015	0322	0	996	0	
358	48	740	04112015	1313	0	996	0	
359	48	2692	11102015	1240	0	996	0	
360	32	171	11212015	2040	0	837	1	
361	18	195	04302015	1103	0	996	0	
362	29	784	11012015	0537	1	170	401	
363	17	513	07232015	0712	0	996	0	
364	19	26	02202015	0820	0	995	95	
365	12	24	01042015	0120	0	996	0	
366	32	14	02082015	0626	1	217	1	
367	48	919	05032015	1605	0	996	0	
368	51	51	02112015	0620	0	0	189	
369	6	2514	10062015	0715	1	0	.	
370	6	2874	02182015	1946	0	996	0	
371	8	119	04112015	0431	1	0	1	
372	37	1006	10172015	0247	0	90	0	
373	41	245	08192015	0914	0	999	0	
374	48	321	02142015	0133	0	996	0	
375	21	27	01182015	0405	0	81	605	
376	12	898	05092015	2140	0	996	0	
377	38	82	08302015	0205	0	196	1	
378	32	284	11232015	1805	0	0	1	
379	19	123	06292015	0200	0	212	1	
380	42	529	07212015	2039	1	250	1	
381	48	125	01192015	1756	0	996	0	
382	12	593	04152015	2007	0	995	95	
383	12	1403	07252015	2108	0	996	0	
384	12	1412	07192015	2330	0	996	0	
385	37	1270	12182015	0857	1	.	0	
386	48	1054	01012015	2329	0	996	0	
387	48	1686	07282015	0100	1	240	1	
388	1	644	11232015	2150	0	166	1	
389	12	1703	09052015	0013	0	0	996	
390	27	311	10242015	1500	1	0	996	
391	41	179	07122015	0415	0	143	407	
392	18	65	02112015	1426	0	0	0	
393	1	575	10172015	0520	1	164	1	
394	18	444	07182015	1600	1	996	0	
395	48	411	02242015	1802	1	996	0	
396	1	445	08082015	0430	0	0	155	
397	22	81	02162015	0221	0	996	0	
398	42	573	07172015	1832	1	75	1	
399	6	2822	11152015	1455	0	.	.	
400	17	220	05042015	1900	1	171	1	
401	12	1829	08242015	1727	0	995	95	
402	22	330	07122015	0538	0	996	0	
403	28	454	10162015	2326	1	999	999	
404	6	2679	02242015	1827	0	270	600	
405	6	2605	12132015	1032	1	996	0	
406	28	338	08012015	0302	1	996	0	
